iter	Logloss
0	0.6764020679
1	0.6632476771
2	0.6499361952
3	0.6378159954
4	0.6254269541
5	0.6140156228
6	0.6000818414
7	0.5898954006
8	0.577381521
9	0.5673870214
10	0.5598464373
11	0.5526176337
12	0.5443010394
13	0.5360080922
14	0.5282654567
15	0.5209337023
16	0.5136719884
17	0.5059929815
18	0.4996093523
19	0.4935706235
20	0.4869990111
21	0.4809660592
22	0.4758966555
23	0.4712416802
24	0.4661573575
25	0.459929091
26	0.4563529306
27	0.4507616414
28	0.4460777917
29	0.4421434642
30	0.4377233453
31	0.4335123546
32	0.429169017
33	0.4249036313
34	0.4212081087
35	0.4179566418
36	0.4137558307
37	0.410668621
38	0.407266443
39	0.4045303746
40	0.4012695485
41	0.3977787378
42	0.3947261393
43	0.3911554022
44	0.388377065
45	0.38554729
46	0.3825730795
47	0.3793292762
48	0.3762572111
49	0.3733920249
50	0.3701319658
51	0.3673487831
52	0.3650947741
53	0.3623581681
54	0.3599745481
55	0.3575344185
56	0.3556186625
57	0.3530216725
58	0.3511379906
59	0.3489490212
60	0.346754227
61	0.3448897474
62	0.342604516
63	0.3400839141
64	0.33788078
65	0.3359034605
66	0.3343268795
67	0.3322313653
68	0.3303513061
69	0.3287410167
70	0.3265306572
71	0.3247876216
72	0.3231891476
73	0.3213308293
74	0.3199766011
75	0.3186909512
76	0.3170079586
77	0.3153266708
78	0.3139432082
79	0.3127017583
80	0.3113755124
81	0.3100729363
82	0.3087946119
83	0.3070555693
84	0.3057699898
85	0.3043595176
86	0.3031974155
87	0.3016683418
88	0.3002768161
89	0.2990878994
90	0.29788164
91	0.2962083684
92	0.2946294291
93	0.2932347192
94	0.2918962687
95	0.2906327516
96	0.2894161137
97	0.2877512445
98	0.2863190444
99	0.285231432
