iter	Passed	Remaining
0	51	5131
1	54	2667
2	55	1794
3	56	1358
4	60	1151
5	62	976
6	63	846
7	64	747
8	66	673
9	68	613
10	72	582
11	75	555
12	79	535
13	81	498
14	82	465
15	83	438
16	85	418
17	88	403
18	91	391
19	92	371
20	93	352
21	94	336
22	95	321
23	97	307
24	98	295
25	99	282
26	100	270
27	106	272
28	107	263
29	108	252
30	109	243
31	110	235
32	111	226
33	112	218
34	113	210
35	114	203
36	115	196
37	116	190
38	118	184
39	120	180
40	122	176
41	123	170
42	124	165
43	125	159
44	126	154
45	127	149
46	128	145
47	129	140
48	130	135
49	131	131
50	135	129
51	137	126
52	138	122
53	139	119
54	141	115
55	143	112
56	144	108
57	144	104
58	146	101
59	148	99
60	150	96
61	151	92
62	152	89
63	155	87
64	157	84
65	158	81
66	159	78
67	160	75
68	163	73
69	165	70
70	166	67
71	167	65
72	169	62
73	171	60
74	172	57
75	173	54
76	174	52
77	177	50
78	180	48
79	181	45
80	182	42
81	184	40
82	184	37
83	185	35
84	186	32
85	187	30
86	189	28
87	194	26
88	195	24
89	196	21
90	197	19
91	198	17
92	199	15
93	200	12
94	201	10
95	202	8
96	203	6
97	204	4
98	211	2
99	212	0
